1,"Secbad , Hyderabad"
2,"Ram Nagar & Arilova , Visakhapatnam"
3,"Jubilee Hills , Hyderabad"
4,"Jubileehills & kondapur , Hyderabad"
5,"Sarita Vihar & Sector 26 , Delhi"
6,"Gandhinagar , Ahmedabad"
7,"Greams Road , Chennai"
8,"Karapakkam & Old Mahabalipuram Road , Chennai"
9,"Sector 26 , Noida"
10,"Poonamallee High Road , Chennai"
11,"Guwahati , Guwahati"
12,"R A Puram , Chennai"
13,"Old Mahabalipuram Road , Chennai"
14,"Koramangala , Bangalore"
15,"Canal Circular Road , Kolkata"
16,"Junwani Road , Bhilai"
17,"GREAMS ROAD & Greams Road , Chennai"
18,"Sarita Vihar , Delhi"
19,"Kuvempunagar , Mysore"
20,"kanchanbagh , Hyderabad"
21,"Navi Mumbai , Mumbai"
22,"Hyderguda , Hyderabad"
23,"BANNERGHATTA ROAD , Bangalore"
24,"Jubileehills , Hyderabad"
25,"Sheshadripuram , Bangalore"
26,"Annasalai , Chennai"
27,"Court Road , Amritsar"
28,"Pinakini Nagar , Nellore"
29,"Tiruchirappalli , Trichy"
30,"Vikas Nagar , Gwalior"
31,"Kailash Colony , Delhi"
32,"Seepat Road , Bilaspur"
33,"Vanagaram , Chennai"
34,"Chembur , Mumbai"
35,"Jehangir Hospital, SASSOON ROAD"
36,"KK Nagar , Madurai"
37,"Marthahalli , Bangalore"
38,"GREAMS ROAD & Annasalai & Greams Road , Chennai"
39,"Karukutty , Cochin"
40,"Bhubaneshwar Road , Bhubaneswar"
41,"Kanpur Road , Lucknow"
42,"GREAMS ROAD & Annasalai , Chennai"
43,"Allwyn Nagar , Karur"
44,"Jayanagar , Bangalore"
45,"Dehradun , Dehradun"
46,"Nigdipradhikaran , Pune"
47,"Neeladri Nagar , Bangalore"
48,"Hobli , Bangalore"
49,"Anwar Shah Road , Kolkata"
50,"Marathahalli , Bangalore"
51,"NEAR BHANUMOTI SCHOOL, OPP BSNL OFFICE, RAMRAJATALA , Kolkata"
52,"Anna Nagar , Chennai"
53,"HSR Layout , Bangalore"
54,"kondapur , Hyderabad"
55,"MRC Nagar , Chennai"
56,"Pondy Bazaar , Chennai"
57,"Narendrapur , Kolkata"
58,"Rajarhat , Kolkata"
59,"Vaibhav Khand , Ghaziabad"
60,"Barrackpore , Kolkata"
61,"Manikonda , Hyderabad"
62,"Varthur & Kaikondanahalli , Bangalore"
63,"Guindy & Kotturpuram , Chennai"
64,", Kolkata"
65,"Sodepur , Kolkata"
66,"Qutbullapur & Madeenaguda , Hyderabad"
67,"Seethammapeta , Visakhapatnam"
68,"Apollo Clinic New Town, Rajarhat"
69,"Kotturpuram , Chennai"
70,"Uppal , Hyderabad"
71,"Indiranagar , Bangalore"
72,"Taluka Haveli , Pune"
73,"Salt Lake & Rajarhat , Kolkata"
74,"Madeenaguda , Hyderabad"
75,"VV Mohlla , Mysore"
76,"A S Rao Nagar , Hyderabad"
77,"Kaikondanahalli , Bangalore"
78,"Nagpur , Nagpur"
79,"Apollo Spectra Hospitals Alwarpet, Alwarpet"
80,"Aundh , Pune"
81,"Vimannagar , Pune"
82,", Pune"
83,"Varthur , Bangalore"
84,"Bull Temple Road , Bangalore"
85,"Jessore Road , Kolkata"
86,"Alwarpet , Chennai"
87,"Guindy , Chennai"
88,"Prakasam Salai , Chennai"
89,"Rohini , Delhi"
